Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,return,log return
24-Sep-12,47,50,46.85,48.15,48.80720979,888043,5154,43342901,334061,37.62,3.15,1.15,0.027748132,0.011886696
25-Sep-12,48.5,50,48.5,49.35,49.44660702,659141,3957,32592286,247555,37.56,1.5,0.85,0.024922118,0.010690866
26-Sep-12,49.15,50.45,48.8,49.15,49.55340841,645975,3470,32010263,247344,38.29,1.65,0,-0.004052685,-0.001763635
27-Sep-12,49.4,49.75,48.45,48.6,49.05231096,273977,1485,13439205,138072,50.4,1.3,-0.8,-0.011190234,-0.004887253
28-Sep-12,48.95,49.25,48.2,48.4,48.8157475,253272,1446,12363662,141247,55.77,1.05,-0.55,-0.004115226,-0.001790908
1-Oct-12,48.7,48.95,48.35,48.65,48.67728527,134481,912,6546170,62508,46.48,0.6,-0.05,0.005165289,0.002237483
3-Oct-12,48.7,49.2,48.3,48.5,48.75066703,162662,1172,7929881,88207,54.23,0.9,-0.2,-0.003083248,-0.001341106
4-Oct-12,49,49.4,48.5,49.05,49.02447241,320279,1766,15701509,155988,48.7,0.9,0.05,0.011340206,0.004897273
5-Oct-12,49.5,52.3,49.5,50.8,51.10468408,2265760,10273,115790949,810395,35.77,2.8,1.3,0.03567788,0.015224701
8-Oct-12,50.8,52.8,50.8,51.1,51.73615363,1261071,5372,65242963,460449,36.51,2,0.3,0.005905512,0.002557188
9-Oct-12,51.2,53.65,51.2,52.2,52.41001646,2447870,10080,128292907,907151,37.06,2.45,1,0.021526419,0.009249603
10-Oct-12,52.2,53.15,51.25,51.45,52.2009783,1290398,6321,67360038,501530,38.87,1.9,-0.75,-0.014367816,-0.006285124
11-Oct-12,51.45,52.05,51.2,51.65,51.57187939,479442,2172,24725725,212239,44.27,0.85,0.2,0.003887269,0.001684947
12-Oct-12,51.5,52.8,51.1,51.85,52.14396887,874446,4350,45597085,324176,37.07,1.7,0.35,0.003872217,0.001678435
